id,host_id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,availability_365
832370755015597476,377605855,Tetuán,Bellas Vistas,40.45222,-3.70475,Entire rental unit,Entire home/apt,7,2.0,3.0,4.0,146.1,2.0,54,4.67,354
1523095046913526481,480261102,Tetuán,Castillejos,40.4587809,-3.6988927,Entire rental unit,Entire home/apt,2,1.0,1.0,2.0,231.0,1.0,32,4.47,182
1516668393625473636,478946131,Retiro,Pacífico,40.4057082,-3.676724,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,189.0,2.0,30,4.57,296
1410720133431954056,653604702,Tetuán,Cuatro Caminos,40.45156,-3.70171,Shared room in bed and breakfast,Shared room,1,1.0,1.0,1.0,25.0,1.0,11,4.55,224
1525069787376600397,566669352,San Blas - Canillejas,Simancas,40.438135,-3.6217804,Private room in rental unit,Private room,2,1.0,3.0,5.0,113.0,4.0,7,4.14,171
1462225148113812298,679913100,Arganzuela,Palos de Moguer,40.405206228,-3.692422774,Entire rental unit,Entire home/apt,8,2.0,1.0,4.0,148.0,2.0,6,4.17,342
980368543059892148,391810099,Carabanchel,Opañel,40.39215,-3.7232,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,116.33,1.0,12,4.17,309
1081725962803693970,28786243,Centro,Justicia,40.42585910792831,-3.696035531604235,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,277.0,1.0,37,4.78,305
1094089934728739406,283340972,Centro,Embajadores,40.410426008112346,-3.701299879038956,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,128.0,1.0,99,4.7,227
1430003,2564339,Centro,Palacio,40.42183,-3.71091,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,108.0,2.0,225,4.7,32
637636112694240148,2960080,Centro,Sol,40.417282,-3.707271,Private room in condo,Private room,2,2.0,,1.0,111.5,1.0,76,4.83,86
1613867526416802776,52530675,Usera,Orcasur,40.38068,-3.69342,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,94.72,1.0,2,3.5,314
1178424976968116677,528979463,Chamberí,Gaztambide,40.43324,-3.71242,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,126.33,1.0,2,5.0,54
1218979612865514486,518713670,Centro,Embajadores,40.40816,-3.701,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,109.17,30.0,1,2.0,365
4596254,5239042,Centro,Embajadores,40.41058,-3.70217,Entire loft,Entire home/apt,4,1.0,,2.0,92.0,1.0,333,4.52,208
914930529429914164,498026704,Centro,Sol,40.41820874293662,-3.705936655068263,Private room in rental unit,Private room,1,5.0,,1.0,63.0,3.0,4,4.75,46
50811470,79538601,Salamanca,Fuente del Berro,40.42326,-3.66727,Entire loft,Entire home/apt,4,1.0,1.0,2.0,103.0,1.0,450,4.82,220
1684010207565239434,377605855,Centro,Palacio,40.420785168702594,-3.707772450937938,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,225.25,2.0,1,4.0,341
694682714762225892,467736757,Tetuán,Bellas Vistas,40.45166,-3.7042,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,118.5,1.0,85,4.58,242
1473074094217525073,266478378,Centro,Cortes,40.4134757,-3.7009466,Room in hotel,Private room,2,1.0,1.0,2.0,594.0,1.0,0,,140
1162247822027730455,471838490,Centro,Sol,40.4186303074288,-3.7020185170469104,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,177.5,1.0,51,4.73,331
647541640678588180,39046329,Villa de Vallecas,Casco Histórico de Vallecas,40.37071,-3.613,Private room in home,Private room,2,1.0,,1.0,68.5,2.0,40,4.98,355
1500610435304630145,346367515,Salamanca,Castellana,40.437126362170545,-3.6833916484012073,Entire rental unit,Entire home/apt,6,,3.0,3.0,119.47,31.0,0,,313
1187424312352140777,546279500,Villaverde,Los Rosales,40.34843,-3.69008,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,149.0,1.0,14,4.86,339
981104766424843412,35865927,Tetuán,Valdeacederas,40.4685117691142,-3.7027624567095656,Private room in rental unit,Private room,1,1.0,,1.0,63.75,4.0,22,4.95,347
10144509,28207769,Ciudad Lineal,San Pascual,40.44255,-3.65286,Private room in rental unit,Private room,1,1.0,,1.0,45.5,4.0,30,4.9,292
865801198959660289,509238181,Carabanchel,San Isidro,40.39738067614654,-3.718827143311501,Private room in rental unit,Private room,2,1.5,1.0,1.0,68.5,2.0,63,4.67,187
34661765,13039286,Salamanca,Lista,40.43068,-3.67682,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,166.05,18.0,27,4.93,105
1074617779768449495,2912413,Centro,Embajadores,40.40888,-3.69662,Entire rental unit,Entire home/apt,5,2.0,3.0,3.0,250.0,1.0,9,4.33,329
1337622955586248294,356248492,Centro,Palacio,40.42221322564198,-3.709248861376944,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,221.0,1.0,75,4.96,303
363476,1836617,Centro,Sol,40.41676,-3.70682,Private room in rental unit,Private room,2,1.5,,1.0,71.0,1.0,690,4.57,214
1634711067905927743,117297770,Centro,Justicia,40.42198,-3.69838,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,249.0,1.0,7,5.0,67
635191029756418236,461000895,Chamartín,Prosperidad,40.44684366052641,-3.669165229638667,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,150.0,3.0,134,4.93,324
23497627,28038703,Salamanca,Goya,40.42651,-3.67766,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,291.8,1.0,43,4.51,306
